Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις
Ανθείας                       ,0,1,0,0,0 
Μικρομάνης                    ,1,0,1,0,0 
Πολιανής                      ,1,0,0,0,0 
Βαλύρας                       ,6,7,2,0,0 
Αρσινόης                      ,1,0,0,0,0 
Κεφαλινού                     ,0,0,0,0,0 
Λαμπαίνης                     ,2,0,0,0,0 
Κορώνης                       ,48,3,6,0,2 
Ακριτοχωρίου                  ,1,0,0,0,0 
Βασιλιτσίου                   ,5,0,1,0,0 
Βουναρίων                     ,1,0,0,0,0 
Καπλανίου                     ,0,0,1,0,0 
Κόμπων                        ,1,0,0,0,0 
Υαμείας                       ,1,0,0,0,0 
Χαρακοπίου (Χαροκοπειού)      ,1,1,2,0,0 
Χρυσοκελλαριάς                ,2,0,0,0,0 
Κυπαρισσίας                   ,55,14,19,0,3 
Αρμενιών                      ,0,0,0,0,0 
Μουριατάδας                   ,1,0,0,0,0 
Περδικονερίου                 ,1,0,0,0,0 
Ραχών                         ,0,1,0,0,0 
Σπηλιάς                       ,2,2,0,0,0 
Στασιού                       ,1,0,0,0,0 
Καρδαμύλης                    ,106,14,7,1,1 
Αγίου Νικολάου                ,2,1,1,0,0 
Αγίου Νίκωνος                 ,1,0,0,0,0 
Εξωχωρίου                     ,3,0,1,0,0 
Θαλαμών                       ,0,1,0,0,0 
Λαγκάδας                      ,0,0,0,0,1 
Μηλέας                        ,0,0,0,0,0 

Νεοχωρίου                     ,23,2,2,0,1 
Νομιτσή                       ,1,0,1,0,0 
Πλάτσης                       ,1,0,1,0,0 
Προαστίου                     ,6,0,0,0,0 
Προσηλίου                     ,0,1,1,0,0 
Ριγκλίων                      ,5,0,0,0,0 
Τσερίων                       ,0,2,0,0,0 
Μεθώνης                       ,41,2,7,0,1 
Ευαγγελισμού                  ,33,3,0,0,0 
Λαχανάδας                     ,2,1,0,0,0 
Φοινίκης                      ,12,1,0,0,0 
Φοινικούντος                  ,17,0,0,0,0 
Μελιγαλά                      ,16,5,21,0,5 
Ζευγολατείου                  ,3,0,1,0,0 
Καλλιρρόης                    ,1,0,0,0,0 
Νεοχωρίου Ιθώμης              ,3,0,0,0,0 
Σκάλας                        ,0,1,0,0,0 
Τσουκαλαιίκων                 ,0,1,0,0,0 
Μεσσήνης                      ,26,5,3,0,3 
Αβραμιού                      ,0,0,0,0,0 
Αναλήψεως                     ,3,1,0,0,0 
Βελίκας                       ,0,3,1,0,0 
Καρτερολίου                   ,3,0,0,0,0 
Λευκοχώρας                    ,1,0,0,0,0 
Λυκοτράφου                    ,0,1,1,0,0 
Μαδένης                       ,1,0,0,0,0 
Μαυρομματίου Παμίσου          ,2,1,0,0,0 
Πιπερίτσης                    ,1,0,0,0,0 
Χώρας                         ,13,4,3,0,0 
Κορυφασίου                    ,1,0,1,0,0 
Ρωμανού                       ,4,0,0,0,0 
Μερόπης                       ,12,8,17,0,3 
Καλυβίων                      ,1,0,0,0,0 
Κατσαρού                      ,2,0,0,0,0 
Λουτρού                       ,5,0,0,0,0 
Οιχαλίας                      ,2,0,0,0,0 
Βλαχοπούλου                   ,2,1,0,0,0 
Μεταμορφώσεως                 ,1,0,0,0,0 
Πεταλιδίου                    ,14,7,4,0,2 
Αχλαδοχωρίου                  ,2,0,0,0,0 
Δάρα                          ,0,0,2,0,0 
Καρποφόρων                    ,0,1,0,0,0 
Νερομύλου                     ,1,0,0,0,0 
Πύλου                         ,27,6,5,0,5 
Αμπελοκήπων                   ,2,0,1,0,0 
Γλυφάδας                      ,2,0,0,0,0 

Ικλαίνης                      ,1,0,0,0,0 
Καλλιθέας                     ,4,0,0,0,0 
Κυνηγού                       ,1,0,0,0,0 
Μεσοχωρίου                    ,1,1,1,0,0 
Παππουλίων                    ,1,1,0,0,0 
Πύλας                         ,1,0,0,0,0 
Χωματάδας                     ,2,0,0,0,0 
Φιλιατρών                     ,53,11,37,0,1 
Εξοχικού                      ,0,0,1,0,0 
Χαλαζονίου                    ,0,0,1,0,0 
Χανδρινού                     ,12,6,0,0,0 
Κουκκουνάρας                  ,1,1,0,0,0 
Κρεμμυδίων                    ,1,0,0,0,0 
Μεσοποτάμου                   ,0,2,0,0,0 
Σουληναρίου                   ,0,0,0,0,0 
Τρικόρφου                     ,2,2,2,0,0 
Ραπτοπούλου                   ,0,0,0,0,0 
ΒΟΡΕΙΟ ΑΙΓΑΙΟ                    ,1234,441,781,20,132 
ΝΟΜΟΣ ΛΕΣΒΟΥ                    ,625,221,507,8,85 
Μυτιλήνης                     ,190,73,187,3,36 
Αγίας Μαρίνης                 ,4,1,2,0,0 
Αλυφαντών                     ,4,3,0,0,0 
Αφάλωνος                      ,2,0,3,0,0 
Λουτρών                       ,5,4,1,0,0 
Μόριας                        ,4,1,2,0,1 
Παμφίλων (Παμφύλλων)          ,5,1,8,0,1 
Παναγιούδας                   ,4,1,0,0,3 
Ταξιαρχών                     ,1,0,4,0,1 
Αγίας Παρασκευής              ,8,9,6,0,2 
Νάπης                         ,1,0,0,0,0 
Αγιάσου                       ,7,3,26,0,0 
Ατσικής                       ,28,2,6,0,1 
Αγίου Δημητρίου               ,1,1,0,0,0 
Βάρους                        ,0,0,1,0,0 
Παππάδου                      ,16,3,10,0,2 
Μεσαγρού                      ,2,2,5,0,0 
Παλαιοκήπου                   ,0,1,1,0,0 
Περάματος                     ,3,1,1,0,0 
Πλακάδου                      ,0,0,1,0,0 
Σκοπέλου                      ,6,0,1,0,0 
Ερεσού                        ,14,6,50,0,8 
Αντίσσης                      ,6,3,8,0,0 
Μεσοτόπου                     ,3,2,2,0,1 

Σιγρίου                       ,7,1,3,0,1 
Χιδήρων                       ,0,0,1,1,0 
Συκούντος                     ,2,1,0,0,0 
Ιππείου                       ,5,0,3,0,0 
Κάτω Τρίτους                  ,3,3,4,0,0 
Κεραμείων                     ,1,0,1,0,0 
Λάμπου Μύλων                  ,1,0,0,0,0 
Καλλονής                      ,41,18,18,1,3 
’γρας                         ,1,2,0,0,0 
Ανεμότιας                     ,1,0,1,0,0 
Αρίσβης                       ,1,1,0,0,0 
Δαφίων                        ,3,2,0,0,3 
Κεραμίου                      ,6,1,2,0,1 
Παρακοίλων                    ,1,1,1,0,0 
Σκαλοχωρίου                   ,1,1,1,0,0 
Φίλιας                        ,0,0,1,0,0 
Λουτροπόλεως Θερμής           ,12,6,9,0,2 
Μιστεγνών                     ,2,0,2,0,0 
Νέων Κυδωνιών                 ,1,0,1,0,0 
Πηγής                         ,1,0,3,0,0 
Πύργων Θερμής                 ,0,2,1,0,0 
Μανταμάδου                    ,4,2,12,0,0 
Κάπης                         ,1,1,3,0,0 
Κλειούς                       ,1,1,2,0,0 
Πελόπης                       ,0,1,1,0,0 
Μηθύμνης                      ,15,1,5,0,0 
Μούδρου                       ,24,10,4,0,1 
Καλλιόπης                     ,1,0,0,0,0 
Καμινίων                      ,0,2,0,0,0 
Κοντοπουλίου                  ,2,0,0,0,2 
Παναγίας                      ,1,0,1,0,0 
Πλάκας                        ,1,0,0,0,0 
Ρεπανιδίου                    ,1,0,0,0,0 
Ρωμανού                       ,1,0,0,0,0 
Σκανδαλίου                    ,1,0,0,0,0 
Μυριναίων                     ,72,12,10,1,0 
Θάνους                        ,3,2,4,0,0 
Κάσπακα                       ,6,0,0,0,0 
Κορνού                        ,0,0,0,0,1 
Πλατέος                       ,1,0,0,0,0 
Κοντιά                        ,3,1,1,0,0 
Καλλιθέας                     ,0,0,0,1,0 
Νέας Κούταλης                 ,12,3,4,0,0 
Πεδινού                       ,1,0,0,0,0 
Πορτιανού                     ,3,0,3,0,0 
Τσιμανδρίων                   ,0,1,2,0,0 

Πέτρας                        ,18,6,15,0,9 
Λαφιώνας                      ,1,2,3,0,0 
Σκουτάρου                     ,3,4,1,0,2 
Στύψης                        ,4,2,4,0,1 
Πλωμαρίου                     ,17,1,30,0,1 
Ακρασίου                      ,0,0,1,0,0 
Αμπελικού                     ,1,0,0,0,0 
Μεγαλοχωρίου                  ,0,1,1,0,0 
Πλαγιάς                       ,0,0,1,1,0 
Τρύγονα                       ,0,0,1,0,0 
Πολιχνίτου                    ,19,8,15,0,2 
Βασιλικών                     ,2,0,1,0,0 
Βρίσας                        ,1,3,3,0,0 
Λισβορίου                     ,0,1,1,0,0 
Αγίου Ευστρατίου              ,1,0,1,0,0 
ΝΟΜΟΣ ΣΑΜΟΥ                     ,234,104,131,2,17 
Σαμίων                        ,28,9,24,0,0 
Αγίου Κωνσταντίνου            ,2,4,3,1,0 
Βαθέος                        ,16,5,15,0,2 
Βουρλιωτών                    ,1,2,3,0,0 
Κοκκαρίου                     ,2,2,5,0,0 
Παλαιοκάστρου                 ,4,1,3,0,0 
Σταυρινήδων                   ,0,0,1,0,0 
Αγίου Κηρύκου                 ,25,15,7,0,1 
Ευδήλου                       ,26,15,3,0,2 
Καρλοβασίων                   ,46,28,31,1,5 
Αγίων Θεοδώρων                ,0,1,0,0,0 
Δρακαίων                      ,0,0,1,0,0 
Καστανέας                     ,1,0,0,0,0 
Κονταιίκων                    ,0,0,1,0,0 
Κοντακαιίκων                  ,9,1,1,0,0 
Λέκας                         ,0,1,0,0,0 
Πλατάνου                      ,4,0,2,0,1 
Υδρούσσης                     ,0,0,0,0,0 
Μαραθοκάμπου                  ,13,2,5,0,1 
Καλλιθέας                     ,0,0,1,0,0 
Κουμαιίκων                    ,1,0,0,0,0 
Πυθαγορείου                   ,11,6,9,0,3 
Μεσογείου                     ,0,0,1,0,0 
Μύλων                         ,1,1,1,0,0 
Μυτιληνιών                    ,9,2,4,0,0 
Παγώνδου                      ,3,0,3,0,1 
Πανδρόσου                     ,0,1,0,0,0 
Πύργου                        ,1,0,2,0,0 

Σπαθαραίων                    ,2,0,0,0,0 
Χώρας                         ,5,0,3,0,0 
Ραχών                         ,16,8,2,0,0 
Φούρνων                       ,8,0,0,0,1 
ΝΟΜΟΣ ΧΙΟΥ                      ,375,116,143,10,30 
Χίου                          ,107,39,41,1,15 
Θυμιανών                      ,76,6,9,0,2 
Βολισσού                      ,17,4,13,4,2 
Παρπαριάς                     ,1,0,0,0,0 
Καλλιμασιάς                   ,35,12,11,1,2 
Χαλκείου                      ,24,9,10,0,1 
Καρδαμύλων                    ,18,12,8,0,1 
Πυργίου                       ,50,14,28,0,5 
Οινουσσών                     ,1,1,2,1,0 
Βροντάδου                     ,45,19,17,3,2 
Ψαρών                         ,1,0,4,0,0 
ΝΟΤΙΟ ΑΙΓΑΙΟ                     ,3288,618,444,52,77 
ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ               ,1352,250,127,34,27 
Ρόδου                         ,116,26,25,0,9 
Αρχαγγέλου                    ,34,9,2,1,1 
Μαλώνος                       ,5,1,0,0,0 
Μασάρων                       ,4,0,0,0,0 
Αστυπαλαίας                   ,16,7,8,1,1 
Έμπωνα                        ,10,0,1,0,0 
Κρητηνίας                     ,1,0,1,0,0 
Αφάντου                       ,55,9,0,0,0 
Αρχιπόλεως                    ,1,0,0,0,0 
Ασφενδιού                     ,70,14,3,0,1 
Αντιμαχείας                   ,75,15,5,0,0 
Καρδαμαίνης                   ,2,0,1,0,0 
Ιαλυσού                       ,118,8,5,0,1 
Καλυθιών                      ,79,3,2,0,0 
Κοσκινού                      ,26,1,0,0,0 
Ψίνθου                        ,6,0,0,0,0 
Καλυμνίων                     ,85,40,13,20,1 
Σορωνής                       ,12,3,1,0,0 
Απόλλωνα                      ,1,0,0,0,0 
Διμυλιάς                      ,1,1,0,0,0 
Σαλάκου                       ,1,0,1,0,0 
Φανών                         ,0,2,0,0,0 
Καρπάθου                      ,57,12,10,1,2 

Απερίου                       ,0,1,0,0,1 
Κάσου                         ,5,3,4,0,0 
Κω                            ,136,19,3,1,7 
Λειψών                        ,8,2,0,1,1 
Λέρου                         ,81,22,2,0,0 
Λίνδου                        ,45,1,2,1,0 
Καλάθου                       ,8,0,3,0,0 
Λαέρμων                       ,3,0,0,0,0 
Λάρδου                        ,7,1,3,0,0 
Πυλώνος                       ,1,0,0,0,0 
Μεγίστης                      ,4,0,4,0,0 
Μανδρακίου                    ,8,2,2,0,0 
Γενναδίου                     ,73,3,3,0,0 
Απολακκιάς                    ,4,2,0,0,0 
Αρνίθας                       ,1,0,0,0,0 
Ασκληπιείου                   ,15,0,0,0,0 
Βατίου                        ,0,1,0,0,0 
Ιστρίου                       ,1,0,0,0,0 
Κατταβίας                     ,2,1,0,0,0 
Λαχανιάς                      ,12,1,0,0,0 
Μεσαναγρού                    ,1,0,0,0,0 
Πάτμου                        ,29,22,10,1,0 
Κρεμαστής                     ,64,8,3,0,0 
Δαματρίας                     ,0,1,0,0,0 
Θεολόγου                      ,2,0,0,0,0 
Μαριτσών                      ,18,0,1,0,0 
Παραδεισίου                   ,3,1,0,0,0 
Παστίδας                      ,11,1,1,0,0 
Σύμης                         ,15,4,6,7,0 
Μεγάλου Χωρίου (τΤήλου)      ,7,0,2,0,1 
Λιβαδίων                      ,5,0,0,0,0 
Χάλκης                        ,1,2,0,0,0 
Αγαθονησίου                   ,1,0,0,0,0 
Ολύμπου                       ,6,1,0,0,1 
ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ                  ,1936,368,317,18,50 
Ερμουπόλεως                   ,85,65,13,1,8 
Μάννα                         ,7,3,3,0,0 
Αμοργού                       ,19,4,11,0,0 
Αρκεσίνης                     ,0,0,1,0,0 
Καταπόλων (Αμοργού)           ,0,1,0,0,0 
’νδρου                        ,38,5,13,0,1 
Αποικίων                      ,1,0,2,0,0 
Βουρκωτής                     ,3,0,0,0,0 
Λαμύρων                       ,5,4,1,0,0 

Μεσαριάς ’νδρου               ,15,6,5,0,0 
Πιτροφού                      ,5,1,0,0,0 
Στενιών                       ,9,3,0,0,0 
’νω Σύρου                     ,55,13,7,0,1 
Γαλησσά                       ,1,0,0,0,0 
Χαλκείου                      ,8,3,2,0,0 
Απεράθου (Απειράθου)          ,7,2,9,0,0 
Δαμαριώνος                    ,14,0,0,0,0 
Δανακού                       ,1,0,0,0,0 
Κεραμωτής                     ,0,1,0,0,0 
Κορωνίδος                     ,8,6,1,0,0 
Κορώνου                       ,5,2,1,0,0 
Μονής                         ,0,0,1,0,0 
Φιλοτίου                      ,16,8,1,1,0 
Κάμπου                        ,13,1,4,1,0 
Κώμης                         ,1,0,1,0,0 
Φαλατάδου                     ,0,0,0,0,0 
Θήρας                         ,75,12,16,0,5 
Ακρωτηρίου                    ,7,4,1,0,0 
Βόθωνος                       ,6,2,3,0,1 
Βουρβούλου                    ,4,0,0,0,1 
Εμπορείου                     ,31,7,4,0,0 
Έξω Γωνιάς                    ,6,0,0,0,0 
Επισκοπής Γωνιάς              ,6,3,2,0,0 
Ημεροβιγλίου                  ,14,0,4,0,1 
Καρτεράδου                    ,12,1,2,0,1 
Μεγαλοχωρίου                  ,12,0,1,0,0 
Μεσαριάς                      ,12,2,2,1,0 
Πύργου Καλλίστης              ,14,1,4,0,0 
Ιητών                         ,26,5,8,0,1 
Ιουλίδος                      ,93,0,10,0,4 
Κορησσίας                     ,21,1,0,0,0 
Όρμου Κορθίου                 ,15,5,5,0,2 
Καππαριάς                     ,8,0,0,0,0 
Κορθίου                       ,33,2,2,0,0 
Κοχύλου                       ,2,0,0,0,0 
Παλαιοκάστρου                 ,0,0,0,0,0 
Συνετίου                      ,6,0,2,0,0 
Κύθνου                        ,41,3,0,0,1 
Δρυοπίδος                     ,0,1,0,0,0 
Μήλου                         ,45,14,7,1,1 
Αδάμαντος                     ,3,1,0,0,1 
Πέραν Τριοβασάλου             ,4,0,0,0,1 
Τριοβασάλου                   ,2,3,0,0,1 
Τρυπητής                      ,1,0,1,0,0 
Μυκονίων                      ,66,4,9,1,1 

’νω Μεράς                     ,3,0,0,0,0 
Νάξου                         ,65,6,8,0,0 
Αγίου Αρσενίου                ,60,6,5,0,0 
Βίβλου                        ,37,1,1,0,0 
Γαλανάδου                     ,3,4,0,0,0 
Γαλήνης                       ,14,2,1,0,0 
Γλινάδου                      ,6,3,4,0,0 
Εγγαρών                       ,4,1,0,0,0 
Κινιδάρου                     ,1,3,1,0,0 
Μελάνων                       ,7,2,1,0,0 
Ποταμιάς                      ,1,2,1,0,0 
Σαγκρίου                      ,45,4,1,0,0 
Πάρου                         ,118,20,20,1,1 
Αγκαιριάς                     ,43,4,1,0,1 
Αρχιλόχου                     ,17,9,5,0,1 
Κώστου                        ,12,5,0,0,0 
Λευκών                        ,10,3,3,2,0 
Μαρπήσσης                     ,48,9,7,1,0 
Ναούσης                       ,113,3,15,0,0 
Ποσειδωνίας                   ,74,13,5,0,3 
Βάρης                         ,2,0,0,0,0 
Φοίνικος                      ,1,1,0,0,0 
Σερίφου                       ,24,6,11,5,1 
Απολλωνίας                    ,63,3,1,0,1 
Αρτεμώνος                     ,3,1,0,0,1 
Τήνου                         ,50,9,12,1,4 
Δύο Χωρίων                    ,2,0,0,0,0 
Τριαντάρου                    ,2,0,0,0,0 
Γαυρίου                       ,54,13,10,1,0 
’νω Γαυρίου                   ,5,1,1,0,0 
Απροβάτου                     ,14,1,3,1,1 
Αρνά                          ,1,0,0,0,0 
Βιταλίου                      ,2,0,1,0,0 
Κατακοίλου                    ,9,1,0,0,1 
Μακροταντάλου                 ,8,1,2,0,0 
Μπατσίου                      ,21,1,2,0,1 
Παλαιοπόλεως                  ,2,0,0,0,0 
Φελλού                        ,17,2,0,0,0 
Ανάφης                        ,2,0,1,0,0 
Αντιπάρου                     ,45,8,5,0,1 
Δονούσης                      ,2,1,0,0,0 
Ηρακλείας                     ,0,1,0,0,0 
Κιμώλου                       ,5,5,11,0,0 
Κουφονησίων                   ,12,3,2,0,0 
Οίας                          ,16,5,9,0,0 
Πανόρμου                      ,0,0,1,0,0 

Σικίνου                       ,2,1,2,0,1 
Σχοινούσσης                   ,2,2,1,0,0 
Φολεγάνδρου                   ,8,2,4,0,0 
’νω Μεριάς                    ,0,1,0,0,0 
ΚΡΗΤΗ                            ,3608,627,139,28,198 
ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ                 ,1255,259,49,6,83 
Ηρακλείου                     ,350,83,11,0,45 
Βασιλειών                     ,1,0,0,0,0 
Βουτών                        ,25,3,0,0,2 
Δαφνέ                         ,4,1,0,0,0 
Σκαλανίου                     ,14,2,0,0,0 
Σταυρακίων                    ,15,1,0,0,0 
Αγίας Βαρβάρας                ,11,1,0,0,0 
’νω Μουλίων                   ,4,1,0,0,0 
Δουλίου                       ,1,0,0,0,0 
Λαρανίου                      ,2,0,0,0,0 
Μεγάλης Βρύσης                ,0,1,0,0,0 
Αρκαλοχωρίου                  ,29,7,0,0,0 
Γαρίπας                       ,1,0,0,0,0 
Κασάνου                       ,2,0,0,0,0 
Καστελλιανών                  ,3,1,0,0,0 
Λευκοχωρίου                   ,0,0,0,0,0 
Παναγίας                      ,1,0,0,0,0 
Πανοράματος                   ,1,0,0,0,0 
Παρτίρων                      ,0,0,0,0,0 
Πατσιδερού                    ,4,0,0,0,0 
Σκινιά                        ,2,0,0,0,0 
Αρχανών                       ,35,4,0,1,6 
Κάτω Αρχανών                  ,8,1,0,0,1 
Πύργου                        ,3,3,1,0,0 
Εθιάς                         ,0,1,0,0,0 
Λιγορτύνου                    ,1,0,0,0,0 
Μεσοχωρίου                    ,1,0,1,0,0 
Παρανύμφων                    ,2,0,0,0,0 
Πραιτωρίων                    ,0,1,0,0,0 
Τεφελίου                      ,1,0,0,0,0 
Χάρακος                       ,2,1,0,0,0 
’νω Βιάννου                   ,16,0,0,0,0 
Αγίου Βασιλείου               ,1,0,0,1,0 
Αμιρά                         ,6,1,1,0,0 
Εμπάρου                       ,1,0,0,0,0 
Καλαμίου                      ,1,0,0,0,0 
Κάτω Σύμης                    ,0,1,0,0,0 

Συκολόγου                     ,1,0,0,0,0 
Χόνδρου                       ,2,0,0,0,0 
Γαζίου                        ,75,9,1,0,5 
Αχλάδας                       ,31,1,3,0,1 
Καλεσιών                      ,10,2,1,0,1 
Ροδιάς                        ,24,2,0,0,0 
Φόδελε                        ,1,0,1,0,0 
Αγίου Μύρωνος                 ,8,0,0,0,0 
’νω Ασιτών                    ,2,1,0,0,0 
Κάτω Ασιτών                   ,6,0,1,0,0 
Πενταμοδίου                   ,1,0,0,0,0 
Πετροκεφάλου                  ,1,0,0,0,0 
Πυργούς                       ,0,0,0,0,0 
Αγίων Δέκα                    ,7,1,0,0,0 
Αγίου Κυρίλλου                ,1,0,1,0,0 
Αμπελούζου                    ,1,0,0,0,0 
Βαγιονιάς                     ,4,0,0,0,0 
Γκαγκαλών                     ,2,1,0,0,0 
Μητροπόλεως                   ,4,0,0,0,1 
Μιαμούς                       ,1,0,0,0,0 
Γουβών                        ,38,9,0,0,0 
Ανωπόλεως                     ,15,6,1,0,2 
Ελαίας                        ,11,0,0,0,0 
Επάνω Βαθείας                 ,4,0,0,0,0 
Καλού Χωρίου                  ,1,0,0,0,0 
Κάτω Βαθείας                  ,8,1,1,0,0 
Χαράσου                       ,1,0,0,0,0 
Επισκοπής                     ,7,1,0,1,0 
Αϊτανίων                      ,2,0,0,0,0 
Γαλίφας                       ,1,0,0,0,0 
Καινούργιου Χωρίου            ,2,1,1,0,0 
Σγουροκεφαλίου                ,2,1,0,0,0 
Ζαρού                         ,3,4,2,0,1 
Βοριζίων                      ,1,0,0,0,0 
Θραψανού                      ,8,2,1,0,0 
Βόνης                         ,1,1,0,0,0 
Ζωφόρων                       ,0,0,1,0,0 
Καστελλίου                    ,9,0,2,0,0 
Αμαριανού                     ,0,0,1,0,0 
Γερακίου                      ,1,0,1,0,0 
Ευαγγελισμού                  ,0,1,0,0,0 
Κασταμονίτσης                 ,1,0,0,0,0 
Λυττού (Ξιδά)                 ,1,0,0,0,0 
Σμαρίου                       ,1,0,1,0,0 
Ασημίου                       ,7,5,0,0,0 
’νω Ακρίων                    ,1,0,0,0,0 

Διονυσίου                     ,1,0,0,0,0 
Σοκαρά                        ,1,3,0,0,0 
Σταβιών                       ,1,0,0,0,0 
Στερνών                       ,5,0,0,0,0 
Στόλων                        ,2,1,0,0,0 
Κρουσώνος                     ,7,0,0,0,0 
Σάρχου                        ,1,0,0,0,0 
Μαλίων                        ,47,13,2,0,1 
Μοχού                         ,16,2,2,0,0 
Μοιρών                        ,24,6,1,1,2 
Αντισκαρίου                   ,1,0,0,0,0 
Γαλιάς                        ,1,1,0,0,0 
Κουσέ                         ,2,1,0,0,0 
Πετροκεφαλίου                 ,3,1,0,0,0 
Πηγαϊδακίων                   ,0,1,0,0,0 
Πόμπιας                       ,7,2,1,0,0 
Σκουρβούλων                   ,2,0,0,0,0 
Νέας Αλικαρνασσού             ,26,20,0,0,6 
Καλλιθέας                     ,21,3,0,0,0 
Αγίων Παρασκιών               ,2,3,0,0,1 
Αγίου Βασιλείου               ,0,0,0,0,0 
Αλαγνίου                      ,1,0,0,0,0 
Αστράκων                      ,2,0,0,0,0 
Αστριτσίου                    ,1,0,0,0,0 
Δαμανίων                      ,0,1,0,0,0 
Καταλαγαρίου                  ,6,0,0,0,0 
Κουνάβων                      ,3,0,0,0,0 
Μελεσών                       ,1,0,0,0,0 
Μεταξοχωρίου                  ,1,0,0,0,0 
Μυρτιάς                       ,5,1,0,0,0 
Πεζών                         ,2,0,0,0,0 
Χουδετσίου                    ,4,0,0,0,0 
Γέργερης                      ,3,0,0,0,0 
Νυβρίτου                      ,2,0,0,0,0 
Προφήτη Ηλία                  ,9,0,1,0,2 
Αγίου Σύλλα                   ,19,4,0,0,0 
Κυπαρίσσου                    ,5,0,0,0,0 
Βενεράτου                     ,5,1,0,0,0 
Αυγενικής                     ,3,0,0,0,0 
Κερασίων                      ,2,0,0,0,0 
Τυλίσου                       ,7,0,0,0,0 
Γωνιών Μαλεβιζίου             ,2,0,0,0,0 
Κεραμουτσίου                  ,1,0,0,0,0 
Μαράθου                       ,1,0,0,0,0 
Τυμπακίου                     ,21,11,0,0,1 
Βώρων                         ,3,2,0,1,0 

Καμαρών                       ,0,0,0,0,0 
Καμηλαρίου                    ,6,4,0,0,0 
Μαγαρικαρίου                  ,1,0,0,0,0 
Πιτσιδίων                     ,5,1,1,0,0 
Σίβα                          ,6,0,0,1,0 
Φανερωμένης                   ,0,0,0,0,0 
Λιμένος Χερσονήσου            ,37,5,4,0,3 
Αβδού                         ,2,0,0,0,0 
Γωνιών Πεδιάδος               ,0,2,0,0,0 
Ποταμιών                      ,0,1,0,0,0 
Χερσονήσου                    ,63,6,3,0,2 
ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ                  ,601,130,22,4,29 
Αγίου Νικολάου                ,171,27,8,3,7 
Βρουχά                        ,5,2,0,0,0 
Ελούντας                      ,21,6,2,1,1 
Έξω Λακκωνίων                 ,3,0,0,0,0 
Καλού Χωρίου                  ,1,0,0,0,0 
Κριτσάς                       ,11,1,0,0,0 
Κρούστα                       ,1,0,0,0,0 
Μέσα Λακκωνίων                ,1,0,0,0,0 
Ιεραπέτρας                    ,164,27,2,0,2 
Αγίου Ιωάννου                 ,0,1,0,0,0 
Κάτω Χωρίου                   ,1,0,0,0,0 
Μεσελέρων                     ,1,0,0,0,0 
Μουρνιών                      ,1,0,0,0,0 
Παλαικάστρου                  ,15,2,0,0,1 
Ζάκρου                        ,4,2,0,0,0 
Ζίρου                         ,1,0,1,0,0 
Απιδίων (Μέσα Απιδίου)        ,6,2,0,0,0 
Αρμένων                       ,2,2,0,0,0 
Παππαγιαννάδων                ,0,2,0,0,0 
Σταυροχωρίου                  ,2,2,0,0,0 
Αγίου Στεφάνου                ,16,4,0,0,0 
Πεύκων                        ,3,0,0,0,0 
Νεαπόλεως                     ,45,17,5,0,6 
Βραχασίου                     ,9,1,0,0,0 
Λατσίδας                      ,0,0,1,0,0 
Μιλάτου                       ,12,0,0,0,0 
Τζερμιάδου                    ,8,1,0,0,0 
Αγίου Γεωργίου Λασιθίου       ,2,0,0,0,0 
Σητείας                       ,73,21,2,0,11 
Αγίου Γεωργίου Σητείας        ,1,2,0,0,0 
Αχλαδίων                      ,2,1,0,0,0 
Μαρωνίας                      ,2,0,0,0,0 

Πισκοκεφάλου                  ,6,4,1,0,1 
Ρούσσας Εκκλησίας             ,6,0,0,0,0 
Σκοπής                        ,1,0,0,0,0 
Σφάκας                        ,0,1,0,0,0 
Τουρλωτής                     ,3,1,0,0,0 
Χαμεζίου                      ,1,1,0,0,0 
ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ                  ,501,69,35,6,25 
Ρεθύμνης                      ,167,29,22,2,20 
Καρές                         ,1,0,0,0,0 
Μαρουλά                       ,0,1,0,0,0 
Ανωγείων                      ,9,0,2,0,3 
’δελε                         ,105,13,3,0,0 
Ελευθέρνης                    ,1,0,0,0,0 
Περάματος                     ,47,10,2,3,2 
Αγγελιανών                    ,1,0,0,0,0 
Σισών                         ,1,0,0,0,0 
Γαράζου                       ,17,3,0,1,0 
Φουρφουρά                     ,2,1,0,0,0 
Σπηλίου                       ,32,1,1,0,0 
Επισκοπής                     ,12,0,1,0,0 
Γωνιάς                        ,82,5,4,0,0 
Ατσιποπούλου                  ,1,0,0,0,0 
Μαλακίων                      ,1,0,0,0,0 
Αποστόλων                     ,2,1,0,0,0 
Σελλίων                       ,20,5,0,0,0 
ΝΟΜΟΣ ΧΑΝΙΩΝ                    ,1251,169,33,12,61 
Χανίων                        ,87,31,17,6,32 
Αρωνίου                       ,37,3,1,1,2 
Κουνουπιδιανών                ,128,16,2,0,0 
Μουζουρά                      ,5,1,0,0,0 
Στερνών                       ,25,4,0,0,0 
Χωρδακίου                     ,4,0,0,0,0 
